id_invoice,issuedDate,country,service,total,discount,tax,invoiceStatus,balance,dueDate,client
67,2023-07-10,Cuba,AI Solution,8685.46,48.85,593.26,Paid,9229.87,2023-08-03,Company B
57,2022-10-05,Uruguay,Mobile App Development,3196.11,437.68,131.34,Pending,2889.77,2022-10-19,Company A
79,2022-08-01,Liberia,UI/UX Design,294.28,48.23,7.74,Overdue,253.79,2022-08-09,Company D
96,2022-11-30,Mongolia,Mobile App Development,2720.38,469.24,164.15,Overdue,2415.29,2022-12-16,Company D
87,2023-03-16,Cyprus,E-commerce Development,2202.77,410.17,214.34,Pending,2006.94,2023-04-04,Company D
94,2023-02-10,New Caledonia,E-commerce Development,2700.06,153.57,31.26,Paid,2577.75,2023-02-18,Company B
67,2023-05-07,Montenegro,AI Solution,4154.94,298.87,177.2,Overdue,4033.27,2023-05-30,Company C
88,2023-02-20,Kiribati,Web Development,845.23,35.66,34.76,Paid,844.33,2023-03-06,Company C
26,2022-08-28,Chile,AI Solution,5853.75,737.08,104.72,Overdue,5221.39,2022-09-10,Company A
40,2023-04-23,Anguilla,E-commerce Development,1546.54,280.52,134.35,Overdue,1400.37,2023-05-14,Company C
7,2023-04-14,Ghana,UI/UX Design,913.97,42.73,37.57,Pending,908.81,2023-04-28,Company B
90,2023-03-14,Luxembourg,E-commerce Development,1969.0,80.87,36.8,Pending,1924.93,2023-03-22,Company A
65,2022-12-10,Australia,E-commerce Development,2423.13,200.24,206.2,Pending,2429.09,2022-12-20,Company E
51,2023-03-26,Lesotho,Mobile App Development,4553.6,710.85,9.05,Overdue,3851.8,2023-04-24,Company D
89,2022-09-16,Mexico,UI/UX Design,307.41,22.26,25.9,Paid,311.05,2022-10-10,Company D
91,2023-05-03,Mali,AI Solution,8635.25,219.36,525.61,Pending,8941.5,2023-05-20,Company B
71,2023-02-23,Australia,UI/UX Design,693.52,63.49,35.51,Pending,665.54,2023-03-21,Company A
34,2023-07-04,Germany,AI Solution,5778.87,930.34,494.39,Pending,5342.92,2023-07-25,Company A
29,2022-11-02,Bangladesh,Mobile App Development,4828.61,410.12,71.13,Paid,4489.62,2022-12-01,Company E
27,2023-06-02,Paraguay,E-commerce Development,1236.46,88.74,116.67,Overdue,1264.39,2023-06-15,Company C
80,2023-06-30,Western Sahara,Web Development,2488.66,11.02,125.17,Pending,2602.81,2023-07-25,Company B
90,2022-12-24,Uzbekistan,E-commerce Development,1590.43,314.16,135.99,Overdue,1412.26,2023-01-02,Company E
17,2023-01-15,Denmark,IoT Solution,6149.65,198.59,109.14,Overdue,6060.2,2023-02-05,Company D
43,2023-07-06,Romania,Mobile App Development,4754.76,779.58,442.87,Overdue,4418.05,2023-07-30,Company B
93,2023-06-27,Netherlands Antilles,E-commerce Development,4925.31,417.12,295.49,Pending,4803.68,2023-07-16,Company C
24,2023-06-22,Nigeria,Web Development,2391.33,98.66,176.33,Overdue,2469.0,2023-07-09,Company D
63,2023-02-08,El Salvador,UI/UX Design,778.38,105.51,62.7,Pending,735.57,2023-03-03,Company D
2,2023-01-20,Belgium,UI/UX Design,483.82,92.41,31.32,Paid,422.73,2023-02-15,Company A
78,2022-07-15,Kiribati,Mobile App Development,3953.41,336.2,198.89,Pending,3816.1,2022-08-08,Company D
64,2022-09-26,Pakistan,UI/UX Design,543.7,41.04,22.01,Paid,524.67,2022-10-07,Company D
96,2022-10-20,Cyprus,Web Development,1343.17,18.74,57.47,Overdue,1381.9,2022-11-13,Company C
97,2023-01-09,Barbados,E-commerce Development,1064.18,103.3,33.12,Overdue,994.0,2023-01-26,Company D
52,2023-04-20,Solomon Islands,AI Solution,4452.6,544.53,16.38,Pending,3924.45,2023-05-07,Company E
4,2023-07-04,Nicaragua,Mobile App Development,2442.98,63.7,28.61,Paid,2407.89,2023-07-12,Company A
23,2022-08-06,Swaziland,E-commerce Development,1793.37,47.74,144.27,Pending,1889.9,2022-08-30,Company B
10,2023-05-30,Jersey,AI Solution,8159.65,58.91,58.59,Overdue,8159.33,2023-06-12,Company B
87,2023-02-11,Bahamas,IoT Solution,7031.35,981.19,189.2,Overdue,6239.36,2023-02-28,Company E
68,2023-02-09,Benin,E-commerce Development,3359.14,145.54,23.47,Overdue,3237.07,2023-03-01,Company B
10,2022-12-23,Guinea-Bissau,Web Development,2916.68,562.83,115.42,Paid,2469.27,2023-01-21,Company C
94,2022-07-22,San Marino,IoT Solution,3646.13,450.64,203.42,Pending,3398.91,2022-08-03,Company B
4,2022-11-17,Ecuador,IoT Solution,6644.09,748.21,518.42,Overdue,6414.3,2022-12-09,Company B
46,2022-08-29,Holy See (Vatican City State),Web Development,1810.78,181.63,160.45,Overdue,1789.6,2022-09-18,Company C
91,2023-07-06,Bangladesh,IoT Solution,7919.06,659.93,0.43,Pending,7259.56,2023-07-17,Company B
24,2023-04-24,Heard Island and McDonald Islands,AI Solution,5060.75,499.96,44.11,Overdue,4604.9,2023-05-09,Company C
9,2022-12-10,Gambia,AI Solution,4709.49,69.11,359.81,Overdue,5000.19,2023-01-02,Company E
85,2023-07-10,Nepal,IoT Solution,5792.69,877.32,417.89,Pending,5333.26,2023-08-05,Company C
2,2023-02-28,Slovenia,Mobile App Development,1121.55,200.88,9.39,Paid,930.06,2023-03-17,Company B
95,2023-04-15,Greece,IoT Solution,7320.68,947.72,124.94,Overdue,6497.9,2023-05-11,Company C
46,2023-04-07,Latvia,IoT Solution,7411.28,1297.78,733.04,Overdue,6846.54,2023-04-14,Company C
40,2022-09-21,Saint Kitts and Nevis,Web Development,1762.39,38.37,73.91,Overdue,1797.93,2022-10-02,Company D
37,2023-03-28,Cambodia,Web Development,2149.06,301.7,146.32,Pending,1993.68,2023-04-20,Company C
49,2022-12-25,Morocco,E-commerce Development,2200.33,123.07,187.67,Paid,2264.93,2023-01-08,Company B
93,2023-06-05,New Caledonia,Web Development,1991.62,299.44,70.09,Pending,1762.27,2023-06-29,Company C
31,2023-02-02,Germany,Mobile App Development,1910.11,305.07,36.68,Paid,1641.72,2023-02-25,Company A
46,2023-05-16,Singapore,Web Development,1155.04,90.33,24.12,Paid,1088.83,2023-05-31,Company A
58,2022-12-07,Gabon,UI/UX Design,502.57,15.5,38.32,Pending,525.39,2022-12-29,Company B
81,2022-09-24,Egypt,AI Solution,9749.01,803.62,553.58,Pending,9498.97,2022-10-24,Company B
27,2022-08-20,British Virgin Islands,UI/UX Design,380.75,28.58,35.3,Paid,387.47,2022-09-11,Company B
48,2022-07-17,Chile,Web Development,1117.68,41.67,100.6,Paid,1176.61,2022-08-09,Company B
42,2023-06-09,Maldives,Mobile App Development,4156.1,188.01,157.6,Paid,4125.69,2023-07-08,Company D
97,2023-05-20,Mozambique,Mobile App Development,2385.74,53.32,154.77,Paid,2487.19,2023-05-31,Company D
11,2022-07-28,Gibraltar,AI Solution,7387.93,429.62,187.75,Overdue,7146.06,2022-08-23,Company E
84,2022-10-14,Timor-Leste,IoT Solution,2177.23,347.98,152.49,Pending,1981.74,2022-11-06,Company B
55,2023-03-20,Latvia,AI Solution,7530.87,185.33,340.98,Overdue,7686.52,2023-04-08,Company E
4,2023-01-04,Kazakhstan,UI/UX Design,663.04,21.18,53.24,Paid,695.1,2023-01-16,Company B
40,2022-09-23,Italy,UI/UX Design,347.31,8.29,14.8,Pending,353.82,2022-10-14,Company B
64,2022-10-21,Ethiopia,Web Development,735.13,17.24,69.84,Paid,787.73,2022-10-29,Company C
53,2022-08-04,Turks and Caicos Islands,IoT Solution,5074.06,651.84,313.69,Overdue,4735.91,2022-08-20,Company C
18,2022-09-02,Mongolia,IoT Solution,3282.62,191.56,205.87,Paid,3296.93,2022-09-22,Company E
22,2023-03-16,Nauru,Mobile App Development,1252.25,72.87,104.15,Overdue,1283.53,2023-03-30,Company E
14,2022-11-23,Luxembourg,UI/UX Design,328.09,58.1,15.65,Paid,285.64,2022-12-13,Company E
32,2022-11-23,Denmark,UI/UX Design,897.58,23.61,10.35,Paid,884.32,2022-12-16,Company C
2,2023-01-21,British Virgin Islands,Mobile App Development,3701.35,195.28,329.94,Overdue,3836.01,2023-02-13,Company C
59,2022-09-15,Canada,AI Solution,4323.98,356.19,278.27,Paid,4246.06,2022-10-06,Company C
21,2023-05-04,Senegal,E-commerce Development,1991.95,157.76,19.02,Overdue,1853.21,2023-05-16,Company E
71,2022-08-15,Pakistan,E-commerce Development,4959.9,169.75,181.05,Paid,4971.2,2022-08-24,Company B
72,2023-02-19,United States Virgin Islands,Web Development,2221.35,325.73,53.29,Pending,1948.91,2023-03-10,Company A
17,2022-11-22,Oman,Mobile App Development,1782.24,319.25,104.13,Overdue,1567.12,2022-12-03,Company D
27,2022-10-04,Kiribati,Web Development,2504.62,411.6,9.76,Paid,2102.78,2022-10-21,Company E
33,2023-01-11,Solomon Islands,UI/UX Design,202.27,24.96,2.43,Pending,179.74,2023-01-23,Company B
70,2023-02-07,Wallis and Futuna,E-commerce Development,4445.53,709.03,156.16,Pending,3892.66,2023-03-08,Company B
37,2023-03-03,China,UI/UX Design,641.14,28.82,7.86,Pending,620.18,2023-03-30,Company D
45,2023-01-25,Israel,E-commerce Development,2226.47,46.12,159.34,Pending,2339.69,2023-02-22,Company D
65,2023-03-10,Faroe Islands,AI Solution,9768.34,249.47,249.19,Pending,9768.06,2023-04-06,Company A
79,2023-01-31,Namibia,E-commerce Development,4492.24,392.53,111.59,Pending,4211.3,2023-02-26,Company A
25,2023-02-04,Northern Mariana Islands,Mobile App Development,4166.52,102.37,212.14,Overdue,4276.29,2023-02-20,Company C
43,2023-03-08,Zimbabwe,Mobile App Development,2422.85,467.55,195.98,Pending,2151.28,2023-03-27,Company C
35,2023-01-30,United Kingdom,Web Development,2307.89,337.35,117.62,Overdue,2088.16,2023-02-06,Company A
57,2022-08-06,Niue,AI Solution,9245.58,1168.02,289.15,Pending,8366.71,2022-08-25,Company C
96,2023-02-23,South Georgia and the South Sandwich Islands,AI Solution,7598.78,581.66,249.54,Paid,7266.66,2023-03-25,Company C
13,2023-05-23,Nigeria,Web Development,1380.93,71.13,1.64,Paid,1311.44,2023-06-10,Company B
54,2022-10-18,Guadeloupe,Web Development,1136.41,117.49,18.88,Overdue,1037.8,2022-11-06,Company A
7,2022-12-17,Colombia,IoT Solution,4914.3,427.78,160.42,Pending,4646.94,2022-12-30,Company A
81,2022-11-19,Venezuela,Web Development,2701.78,173.73,45.46,Overdue,2573.51,2022-12-01,Company C
26,2023-01-18,Azerbaijan,IoT Solution,4945.2,344.34,169.59,Paid,4770.45,2023-02-11,Company A
57,2022-09-28,Jordan,IoT Solution,3676.62,548.39,98.01,Pending,3226.24,2022-10-27,Company D
17,2022-12-23,Guam,Web Development,1558.59,121.5,48.39,Pending,1485.48,2023-01-11,Company B
79,2023-03-14,Slovenia,Mobile App Development,4124.84,411.04,11.4,Overdue,3725.2,2023-04-13,Company C
31,2022-11-24,Uzbekistan,IoT Solution,3622.04,22.76,9.66,Paid,3608.94,2022-12-12,Company E
62,2022-09-13,Oman,Web Development,1702.84,61.61,24.09,Pending,1665.32,2022-09-28,Company A
85,2023-02-07,Botswana,UI/UX Design,744.42,18.66,65.61,Pending,791.37,2023-03-09,Company E
100,2022-12-13,Greenland,Web Development,1333.78,147.49,110.7,Pending,1296.99,2022-12-30,Company C
97,2023-02-26,Saint Vincent and the Grenadines,AI Solution,7191.36,46.94,578.09,Pending,7722.51,2023-03-23,Company C
75,2022-07-14,Barbados,Mobile App Development,2385.94,413.19,197.1,Overdue,2169.85,2022-08-02,Company B
93,2022-12-19,France,UI/UX Design,732.9,142.16,45.85,Overdue,636.59,2023-01-10,Company E
59,2023-01-01,Norway,Web Development,1080.95,210.12,28.76,Overdue,899.59,2023-01-26,Company D
79,2023-02-10,Barbados,AI Solution,4809.2,408.87,45.33,Pending,4445.66,2023-02-22,Company B
92,2022-08-06,Faroe Islands,E-commerce Development,2940.91,588.15,15.65,Overdue,2368.41,2022-08-17,Company C
5,2023-04-22,Yemen,Web Development,983.57,10.65,91.92,Pending,1064.84,2023-05-22,Company A
61,2022-12-27,Philippines,E-commerce Development,3837.51,482.71,222.89,Overdue,3577.69,2023-01-20,Company A
7,2023-04-03,China,Mobile App Development,1599.1,35.95,82.88,Pending,1646.03,2023-04-18,Company A
49,2023-06-26,Myanmar,E-commerce Development,2821.24,417.33,165.2,Overdue,2569.11,2023-07-16,Company E
4,2023-01-06,Congo,IoT Solution,6849.01,1042.84,570.26,Paid,6376.43,2023-01-22,Company A
40,2023-07-03,Slovakia (Slovak Republic),Mobile App Development,1852.46,333.77,154.53,Overdue,1673.22,2023-07-23,Company C
68,2022-08-22,Lebanon,E-commerce Development,3880.88,21.27,235.84,Overdue,4095.45,2022-09-03,Company E
37,2022-10-11,French Southern Territories,AI Solution,5283.74,951.74,235.22,Pending,4567.22,2022-11-06,Company A
85,2023-04-28,Timor-Leste,E-commerce Development,3123.55,513.37,198.15,Paid,2808.33,2023-05-09,Company A
